Date,Close/Last,Volume,Open,High,Low
08/05/2019,59.81,45081,61.55,61.55,59.67
08/02/2019,61.89,45978,61.1,62.93,60.89
08/01/2019,60.5,59354,64.29,64.52,60.03
07/31/2019,65.17,593,64.61,65.36,64.54
07/30/2019,64.72,7963,63.85,65.04,63.85
07/29/2019,63.71,12484,63.12,63.91,62.91
07/26/2019,63.46,25420,63.24,63.96,63.02
07/25/2019,63.39,26183,63.15,64.23,63.03
07/24/2019,63.18,40154,64.24,64.66,62.59
07/23/2019,63.83,30227,63.29,64.45,62.66
07/22/2019,63.26,32971,62.91,64.02,62.77
07/19/2019,62.47,35595,62.58,63.34,61.84
07/18/2019,61.93,48107,63.63,64.46,61.29
07/17/2019,63.66,33378,64.33,65.28,63.23
07/16/2019,64.35,40089,66.13,67.08,63.85
07/15/2019,66.48,34524,66.65,67.46,66.07
07/12/2019,66.72,31142,66.78,67.27,66.51
07/11/2019,66.52,36938,66.72,67.64,66.44
07/10/2019,67.01,40176,64.49,67.13,64.49
07/09/2019,64.16,27987,63.92,65.02,63.74
07/08/2019,64.11,28359,64.37,65.13,63.8
07/05/2019,64.23,33351,63.28,64.52,62.91
07/03/2019,63.82,10182,63.88,64.06,62.95
07/02/2019,62.4,46602,65.19,65.5,62.23
07/01/2019,65.06,40858,65.28,66.74,64.22
06/28/2019,64.74,1798,66.65,66.78,66.06
06/27/2019,66.55,8906,66.09,66.79,65.65
06/26/2019,66.49,24628,65.77,66.86,65.61
06/25/2019,65.05,34950,64.72,65.96,64.18
06/24/2019,64.86,37503,65.54,65.8,64.1
06/21/2019,65.2,49697,64.74,65.75,63.99
06/20/2019,64.45,61159,62.21,64.81,62.17
06/19/2019,61.82,48916,62.25,62.52,61.39
06/18/2019,62.14,44666,61.02,62.83,60.25
06/17/2019,60.94,45347,61.97,62.35,60.72
06/14/2019,62.01,37242,61.38,62.57,60.74
06/13/2019,61.31,69718,59.82,62.64,59.76
06/12/2019,59.97,44274,62.11,62.11,59.57
06/11/2019,62.29,39556,62.36,62.87,62.01
06/10/2019,62.29,32712,63.69,64.13,62.05
06/07/2019,63.29,42324,62.22,63.58,61.78
06/06/2019,61.67,47126,60.58,62.42,60.14
06/05/2019,60.63,64379,61.48,62.26,59.45
06/04/2019,61.97,56144,60.84,62.1,60.22
06/03/2019,61.28,58486,61.6,62.83,60.46
05/31/2019,61.99,1068,66.71,66.73,64.42
05/30/2019,66.87,11979,69.73,69.95,66.3
05/29/2019,69.45,27487,70.05,70.09,68.07
05/28/2019,70.11,55439,69.1,70.58,68.55
05/24/2019,68.69,11708,69.1,70.22,68.55
05/23/2019,67.76,76795,70.88,70.93,67
05/22/2019,70.99,53317,72,72.03,70.42
05/21/2019,72.18,52232,72.14,72.52,71.61
05/20/2019,71.97,45718,72.35,73.39,71.59
05/17/2019,72.21,41701,72.79,73.23,71.78
05/16/2019,72.62,55629,71.95,73.35,71.82
05/15/2019,71.77,47306,70.98,72.25,70.42
05/14/2019,71.24,56338,69.99,71.64,69.93
05/13/2019,70.23,58033,70.9,72.57,69.73
05/10/2019,70.62,49640,70.3,71.23,70.17
05/09/2019,70.39,44560,70.23,70.64,69.4
05/08/2019,70.37,43071,69.82,70.8,69.32
05/07/2019,69.88,47007,71.16,71.31,69.39
05/06/2019,71.24,34397,70.6,71.79,68.76
05/03/2019,70.85,35333,70.32,71.54,69.96
05/02/2019,70.75,49460,72.15,72.22,69.68
05/01/2019,72.18,31167,71.52,72.36,71.29
04/30/2019,72.8,941,72.1,73.2,71.73
04/29/2019,72.04,13425,71.7,72.5,71.11
04/26/2019,72.15,30199,74.3,74.41,71.29
04/25/2019,74.35,54260,74.53,75.59,74
04/24/2019,74.57,41370,74.32,74.72,74
04/23/2019,74.51,47084,74.2,74.73,73.99
04/22/2019,74.04,44646,72.05,74.51,71.9
04/18/2019,71.97,35040,71.55,72.03,71.21
04/17/2019,71.62,38175,71.84,72.26,71.46
04/16/2019,71.72,39912,71.27,71.94,70.75
04/15/2019,71.18,27790,71.62,71.65,70.78
