"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"09-Oct-2019","EQ","1,197.10","1,229.90","1,190.00","1,186.90","1,228.20","1,228.15","1,211.14","2,503.30","1,084.00",8713635,"10,553,402,882.70",241068
"07-Oct-2019","EQ","1,201.20","1,219.85","1,181.15","1,189.70","1,184.55","1,186.90","1,201.38","2,503.30","1,084.00",11256610,"13,523,469,540.25",216482
"04-Oct-2019","EQ","1,236.65","1,239.60","1,185.30","1,223.55","1,189.75","1,189.70","1,209.48","2,503.30","1,084.00",9201816,"11,129,384,400.75",257533
"03-Oct-2019","EQ","1,239.95","1,243.80","1,216.35","1,248.80","1,222.90","1,223.55","1,227.27","2,503.30","1,084.00",8149438,"10,001,593,148.15",288240
"01-Oct-2019","EQ","1,231.50","1,255.00","1,221.10","1,227.45","1,250.20","1,248.80","1,241.11","2,503.30","1,084.00",9384176,"11,646,764,342.20",237310
"30-Sep-2019","EQ","1,228.80","1,240.00","1,216.50","1,244.20","1,227.50","1,227.45","1,229.60","2,503.30","1,084.00",9109229,"11,200,672,638.85",213075
"27-Sep-2019","EQ","1,248.25","1,253.50","1,237.60","1,242.50","1,245.60","1,244.20","1,245.87","2,503.30","1,084.00",7436585,"9,264,982,098.75",181792
"26-Sep-2019","EQ","1,239.80","1,275.00","1,236.35","1,239.70","1,246.00","1,242.50","1,249.50","2,503.30","1,084.00",15335780,"19,162,065,306.60",267570
"25-Sep-2019","EQ","1,249.90","1,249.90","1,230.10","1,253.80","1,240.00","1,239.70","1,238.04","2,503.30","1,084.00",7804488,"9,662,249,393.10",188354
"24-Sep-2019","EQ","1,250.00","1,261.95","1,227.55","1,257.25","1,252.15","1,253.80","1,244.36","2,503.30","1,084.00",11689524,"14,546,003,120.90",253765
"23-Sep-2019","EQ","1,259.55","1,282.70","1,229.00","1,199.60","1,255.30","1,257.25","1,257.31","2,503.30","1,084.00",20960205,"26,353,536,485.20",399302
"20-Sep-2019","EQ","1,108.00","1,209.90","1,105.40","1,101.05","1,202.00","1,199.60","1,174.97","2,503.30","1,084.00",23075017,"27,112,448,513.50",495257
"19-Sep-2019","EQ","1,099.90","1,107.05","1,084.00","2,187.75","1,100.05","1,101.05","1,093.79","2,503.30","1,084.00",5311655,"5,809,819,672.10",172428
