State Code,District Code,Area Name,Total/ Rural/ Urban,Age-group,Number speaking second language (Persons),Number speaking second language (Males),Number speaking second language (Females),Number speaking third language (Persons) ,Number speaking third language (Males) ,Number speaking third language (Females)
05,00,UTTARAKHAND,Urban,70+,25983,16203,9780,4440,3287,1153
05,00,UTTARAKHAND,Urban,Age not stated,1825,1097,728,166,100,66
06,00,HARYANA,Total,Total,5627361,3257645,2369716,1170571,681228,489343
06,00,HARYANA,Total,5-9,232580,128807,103773,17696,9971,7725
06,00,HARYANA,Total,10-14,573540,321082,252458,97509,54690,42819
06,00,HARYANA,Total,15-19,843906,473191,370715,195948,107958,87990
06,00,HARYANA,Total,20-24,835396,457872,377524,187590,101018,86572
06,00,HARYANA,Total,25-29,689360,383152,306208,148462,81924,66538
06,00,HARYANA,Total,30-49,1653253,983243,670010,340304,202216,138088
06,00,HARYANA,Total,50-69,661002,421351,239651,152180,100145,52035
06,00,HARYANA,Total,70+,131886,85378,46508,29431,22475,6956
06,00,HARYANA,Total,Age not stated,6438,3569,2869,1451,831,620
06,00,HARYANA,Rural,Total,2757542,1651753,1105789,562967,344293,218674
06,00,HARYANA,Rural,5-9,132897,73068,59829,7186,4100,3086
06,00,HARYANA,Rural,10-14,344734,192287,152447,60140,33646,26494
06,00,HARYANA,Rural,15-19,498438,280067,218371,130066,72121,57945
06,00,HARYANA,Rural,20-24,449875,252150,197725,111679,61721,49958
06,00,HARYANA,Rural,25-29,332886,194716,138170,74716,44119,30597
06,00,HARYANA,Rural,30-49,708979,456123,252856,132932,90459,42473
06,00,HARYANA,Rural,50-69,237189,167562,69627,38681,31754,6927
06,00,HARYANA,Rural,70+,49155,33877,15278,6806,5926,880
06,00,HARYANA,Rural,Age not stated,3389,1903,1486,761,447,314
06,00,HARYANA,Urban,Total,2869819,1605892,1263927,607604,336935,270669
06,00,HARYANA,Urban,5-9,99683,55739,43944,10510,5871,4639
06,00,HARYANA,Urban,10-14,228806,128795,100011,37369,21044,16325
06,00,HARYANA,Urban,15-19,345468,193124,152344,65882,35837,30045
06,00,HARYANA,Urban,20-24,385521,205722,179799,75911,39297,36614
06,00,HARYANA,Urban,25-29,356474,188436,168038,73746,37805,35941
06,00,HARYANA,Urban,30-49,944274,527120,417154,207372,111757,95615
06,00,HARYANA,Urban,50-69,423813,253789,170024,113499,68391,45108
06,00,HARYANA,Urban,70+,82731,51501,31230,22625,16549,6076
06,00,HARYANA,Urban,Age not stated,3049,1666,1383,690,384,306
07,00,NCT OF DELHI,Total,Total,6817214,3792458,3024756,1358233,741513,616720
07,00,NCT OF DELHI,Total,5-9,238766,128912,109854,28514,15191,13323
07,00,NCT OF DELHI,Total,10-14,555125,301894,253231,86373,46106,40267
07,00,NCT OF DELHI,Total,15-19,823151,446795,376356,136451,71782,64669
07,00,NCT OF DELHI,Total,20-24,924887,496583,428304,159909,83191,76718
07,00,NCT OF DELHI,Total,25-29,849278,453395,395883,156480,80505,75975
07,00,NCT OF DELHI,Total,30-49,2265837,1280296,985541,469504,254280,215224
07,00,NCT OF DELHI,Total,50-69,957360,564671,392689,259634,149394,110240
07,00,NCT OF DELHI,Total,70+,197065,116713,80352,60443,40565,19878
07,00,NCT OF DELHI,Total,Age not stated,5745,3199,2546,925,499,426
07,00,NCT OF DELHI,Rural,Total,98713,59504,39209,5474,3336,2138
07,00,NCT OF DELHI,Rural,5-9,2446,1380,1066,54,26,28
07,00,NCT OF DELHI,Rural,10-14,8168,4571,3597,339,195,144
07,00,NCT OF DELHI,Rural,15-19,15734,8723,7011,839,453,386
07,00,NCT OF DELHI,Rural,20-24,17028,9354,7674,801,457,344
07,00,NCT OF DELHI,Rural,25-29,13829,7738,6091,726,406,320
07,00,NCT OF DELHI,Rural,30-49,30923,19859,11064,1856,1165,691
07,00,NCT OF DELHI,Rural,50-69,9112,6786,2326,684,484,200
07,00,NCT OF DELHI,Rural,70+,1364,1035,329,171,148,23
07,00,NCT OF DELHI,Rural,Age not stated,109,58,51,4,2,2
07,00,NCT OF DELHI,Urban,Total,6718501,3732954,2985547,1352759,738177,614582
07,00,NCT OF DELHI,Urban,5-9,236320,127532,108788,28460,15165,13295
07,00,NCT OF DELHI,Urban,10-14,546957,297323,249634,86034,45911,40123
07,00,NCT OF DELHI,Urban,15-19,807417,438072,369345,135612,71329,64283
07,00,NCT OF DELHI,Urban,20-24,907859,487229,420630,159108,82734,76374
